seed	H	W	C
1	10	10	2
2	30	30	4
3	100	100	6
4	52	83	6
5	83	60	4
6	34	36	4
7	98	54	3
8	49	30	4
9	55	74	3
10	84	41	2
11	24	46	5
12	51	86	3
13	86	43	6
14	16	22	6
15	17	76	3
16	39	66	4
17	84	15	5
18	95	50	5
19	75	10	6
20	36	93	2
21	41	92	3
22	54	54	6
23	34	35	2
24	30	46	6
25	80	69	3
26	28	66	5
27	68	93	4
28	24	50	2
29	24	17	2
30	32	52	5
31	63	90	6
32	76	10	4
33	29	70	6
34	96	22	4
35	54	96	3
36	86	92	2
37	45	56	6
38	14	38	4
39	17	48	3
40	10	62	3
41	36	83	2
42	26	34	3
43	70	71	6
44	51	74	2
45	84	39	4
46	100	34	2
47	29	14	5
48	81	92	5
49	86	51	2
50	40	44	6
51	43	46	3
52	58	84	2
53	93	84	6
54	42	79	3
55	99	44	3
56	56	65	4
57	30	85	6
58	29	22	6
59	34	83	2
60	69	62	3
61	70	39	2
62	52	16	5
63	91	92	4
64	48	67	5
65	50	52	3
66	28	44	4
67	44	69	2
68	91	14	5
69	74	28	4
70	100	21	5
71	63	50	4
72	17	64	5
73	51	78	5
74	95	26	2
75	72	70	3
76	51	96	3
77	22	29	3
78	23	50	4
79	11	86	2
80	39	40	2
81	94	49	5
82	46	69	6
83	60	75	3
84	76	37	2
85	77	62	3
86	30	66	4
87	88	73	4
88	99	52	5
89	28	47	3
90	17	48	4
91	97	78	6
92	90	68	2
93	33	72	2
94	52	98	4
95	78	61	3
96	59	92	3
97	94	66	3
98	76	15	4
99	38	57	6
100	31	24	5
101	62	85	4
102	28	18	2
103	97	62	2
104	21	48	3
105	22	94	6
106	27	40	4
107	17	92	4
108	85	48	2
109	18	31	5
110	43	70	2
111	95	52	4
112	64	91	5
113	93	92	6
114	12	89	4
115	42	70	3
116	18	93	6
117	57	46	3
118	64	81	2
119	15	52	3
120	25	50	4
121	26	91	2
122	99	98	4
123	23	54	6
124	68	37	4
125	48	89	6
126	27	36	4
127	89	86	2
128	70	11	2
129	79	48	3
130	20	79	3
131	43	66	5
132	57	80	4
133	95	42	2
134	51	54	6
135	34	94	2
136	28	69	6
137	22	64	3
138	91	76	4
139	52	53	3
140	35	94	3
141	92	60	5
142	47	12	6
143	32	67	6
144	46	39	2
145	18	61	3
146	63	14	2
147	55	22	5
148	16	62	4
149	74	50	3
150	78	74	4
151	45	38	2
152	94	19	3
153	42	39	5
154	75	34	6
155	53	58	3
156	75	42	4
157	12	83	3
158	59	46	4
159	42	53	3
160	91	88	4
161	60	48	4
162	97	36	3
163	21	52	3
164	30	88	4
165	31	60	4
166	22	42	6
167	30	82	4
168	16	47	3
169	27	78	4
170	34	22	2
171	24	71	3
172	96	97	2
173	80	38	5
174	22	32	3
175	11	44	2
176	44	47	3
177	85	46	6
178	16	55	5
179	31	80	4
180	12	65	5
181	28	63	2
182	11	28	2
183	50	84	5
184	16	35	6
185	42	21	4
186	83	60	3
187	85	78	6
188	34	82	4
189	78	72	3
190	78	33	4
191	31	12	5
192	53	28	5
193	39	58	3
194	63	92	4
195	83	46	3
196	100	77	6
197	91	40	4
198	86	36	6
199	18	74	6
200	54	48	3
201	15	54	6
202	25	74	4
203	88	77	5
204	80	10	2
205	76	99	3
206	18	73	3
207	94	33	3
208	83	52	3
209	50	71	4
210	48	49	4
211	46	13	3
212	28	69	4
213	17	24	3
214	56	57	2
215	89	38	6
216	30	13	3
217	34	25	4
218	70	39	2
219	39	46	3
220	41	62	3
221	91	64	6
222	18	69	5
223	35	18	4
224	57	68	2
225	80	58	4
226	46	33	5
227	14	81	6
228	62	41	6
229	18	59	6
230	28	88	4
231	75	62	2
232	75	90	5
233	52	42	5
234	99	86	5
235	32	14	5
236	42	42	6
237	78	24	5
238	49	88	3
239	57	78	4
240	24	41	3
241	34	87	4
242	94	82	2
243	75	52	6
244	68	33	4
245	11	18	4
246	66	22	5
247	44	15	3
248	70	47	5
249	49	52	2
250	66	18	2
251	58	29	4
252	46	15	3
253	30	33	2
254	26	37	3
255	52	88	3
256	97	38	5
257	53	14	2
258	33	36	2
259	36	72	6
260	15	52	4
261	22	53	3
262	36	68	3
263	89	94	5
264	44	63	4
265	70	20	3
266	68	67	3
267	64	91	3
268	32	16	6
269	74	33	2
270	45	86	2
271	86	77	2
272	98	17	5
273	10	59	6
274	96	49	4
275	40	39	5
276	52	53	4
277	84	97	2
278	93	76	5
279	68	100	5
280	11	66	3
281	63	60	6
282	64	73	6
283	18	29	2
284	56	11	2
285	34	92	4
286	74	38	3
287	40	57	2
288	78	88	6
289	38	89	3
290	68	25	2
291	59	36	3
292	64	14	5
293	78	65	2
294	64	23	2
295	60	93	3
296	96	33	3
297	93	64	4
298	48	75	3
299	85	50	5
300	72	21	4
301	80	14	3
302	45	26	3
303	97	88	6
304	56	23	3
305	20	31	4
306	81	32	3
307	28	19	3
308	81	64	2
309	56	50	3
310	86	75	5
311	57	34	4
312	39	24	4
313	62	47	5
314	34	44	5
315	59	50	5
316	84	53	2
317	69	100	4
318	82	34	2
319	82	76	4
320	79	16	2
321	85	34	6
322	46	58	3
323	52	76	4
324	93	12	3
325	27	68	4
326	38	49	5
327	70	64	6
328	100	53	6
329	69	20	4
330	78	69	6
331	71	12	2
332	74	29	4
333	72	67	5
334	28	81	5
335	93	36	6
336	21	84	6
337	83	60	4
338	24	10	5
339	21	12	3
340	74	20	2
341	67	98	6
342	16	22	3
343	39	98	6
344	61	68	5
345	32	45	3
346	18	72	5
347	60	29	6
348	98	47	4
349	13	78	2
350	77	26	4
351	21	90	5
352	15	20	6
353	72	30	2
354	74	39	6
355	38	70	2
356	60	25	2
357	76	81	2
358	48	63	3
359	64	51	5
360	41	70	5
361	24	31	5
362	37	34	6
363	88	21	3
364	62	24	4
365	86	62	2
366	28	69	5
367	45	96	4
368	67	84	4
369	81	32	2
370	58	24	5
371	88	41	6
372	53	24	2
373	76	34	6
374	85	100	5
375	41	46	5
376	60	48	4
377	78	71	6
378	76	13	4
379	63	88	4
380	65	60	6
381	50	31	6
382	60	93	5
383	30	26	2
384	10	43	6
385	54	57	6
386	45	46	2
387	78	95	3
388	88	47	2
389	44	25	2
390	68	12	4
391	20	49	3
392	100	77	6
393	12	19	5
394	69	20	5
395	76	19	2
396	26	79	3
397	12	10	2
398	60	19	2
399	34	54	2
400	32	63	6
401	58	21	6
402	97	94	2
403	58	15	3
404	80	99	4
405	78	69	4
406	30	85	2
407	53	20	2
408	44	11	3
409	93	60	3
410	68	65	2
411	17	20	6
412	94	91	5
413	80	17	6
414	22	47	6
415	96	96	5
416	96	23	6
417	70	23	5
418	96	75	5
419	30	46	2
420	72	95	3
421	72	34	2
422	50	96	6
423	19	84	4
424	42	13	5
425	57	20	3
426	27	14	2
427	78	32	4
428	12	70	4
429	80	29	5
430	90	83	6
431	88	40	6
432	12	68	6
433	56	76	3
434	50	43	5
435	42	61	4
436	82	82	4
437	94	16	5
438	64	20	2
439	56	53	3
440	64	47	4
441	72	51	2
442	69	98	2
443	68	75	6
444	53	26	2
445	28	70	6
446	90	19	6
447	68	71	2
448	46	43	6
449	59	46	4
450	72	25	4
451	40	48	6
452	32	23	5
453	64	72	2
454	30	57	3
455	74	39	6
456	22	72	2
457	23	18	6
458	20	62	4
459	34	91	6
460	69	20	5
461	66	90	6
462	75	16	4
463	84	12	3
464	41	28	3
465	94	88	4
466	93	92	6
467	54	67	6
468	34	67	3
469	85	54	4
470	27	98	4
471	98	69	2
472	83	72	6
473	36	41	4
474	96	29	4
475	88	35	6
476	84	32	6
477	86	14	5
478	78	34	6
479	21	74	3
480	43	62	4
481	29	68	4
482	16	41	5
483	33	30	6
484	27	70	6
485	24	36	6
486	58	89	2
487	69	22	6
488	73	60	4
489	88	77	6
490	94	55	6
491	94	77	4
492	52	85	6
493	81	44	2
494	61	20	6
495	24	95	2
496	58	53	4
497	77	58	4
498	77	54	5
499	23	88	2
500	30	87	6
501	48	51	5
502	17	50	5
503	72	87	2
504	61	38	4
505	41	66	5
506	26	11	4
507	56	28	6
508	56	97	6
509	63	80	3
510	18	19	3
511	40	86	4
512	55	46	5
513	30	21	2
514	74	57	4
515	76	30	6
516	36	36	6
517	65	82	4
518	58	79	4
519	56	77	4
520	76	99	3
521	52	11	6
522	31	82	5
523	46	89	3
524	16	14	5
525	73	54	3
526	38	28	3
527	10	87	4
528	92	44	6
529	59	60	3
530	71	54	6
531	61	66	2
532	65	20	5
533	19	44	3
534	64	49	3
535	14	67	6
536	78	31	3
537	52	94	2
538	54	91	2
539	52	31	4
540	89	54	2
541	83	96	2
542	13	48	6
543	77	58	6
544	38	83	5
545	64	70	5
546	72	63	2
547	54	13	3
548	20	100	2
549	27	26	5
550	51	86	2
551	30	57	2
552	33	70	5
553	41	80	2
554	13	56	5
555	18	29	6
556	94	65	4
557	73	96	2
558	62	94	2
559	33	40	3
560	28	72	5
561	22	91	3
562	99	60	2
563	78	89	3
564	22	80	4
565	63	46	3
566	79	46	5
567	40	57	5
568	68	44	4
569	78	11	6
570	48	43	3
571	65	96	4
572	25	66	6
573	44	57	6
574	48	14	5
575	76	83	5
576	90	10	3
577	49	84	4
578	50	35	4
579	50	54	4
580	27	82	4
581	96	86	5
582	49	36	5
583	19	86	4
584	26	87	4
585	33	92	5
586	51	34	6
587	11	42	4
588	61	42	5
589	56	62	3
590	32	19	4
591	30	11	4
592	84	42	5
593	50	67	6
594	84	76	4
595	20	74	4
596	74	37	5
597	14	75	5
598	58	45	5
599	15	88	3
600	62	20	2
601	36	46	4
602	61	72	4
603	94	42	5
604	63	10	3
605	86	82	3
606	24	39	5
607	16	44	2
608	69	74	4
609	92	31	2
610	25	52	2
611	33	38	3
612	98	79	2
613	34	66	5
614	10	14	4
615	42	12	5
616	34	33	4
617	46	91	6
618	63	86	4
619	73	16	6
620	67	34	5
621	73	14	4
622	62	77	6
623	86	21	4
624	62	32	4
625	58	38	3
626	50	87	4
627	92	76	6
628	72	96	2
629	32	37	6
630	40	13	6
631	92	40	6
632	69	90	4
633	71	82	6
634	16	88	4
635	16	70	3
636	100	57	3
637	50	57	3
638	46	49	3
639	13	16	4
640	18	88	6
641	36	51	4
642	16	13	3
643	22	37	4
644	98	61	4
645	88	82	3
646	54	20	5
647	96	96	3
648	94	35	3
649	41	40	5
650	11	36	3
651	52	17	5
652	65	70	2
653	86	56	4
654	53	66	6
655	50	38	3
656	89	76	4
657	60	81	6
658	77	22	6
659	99	82	5
660	73	72	4
661	66	19	5
662	38	70	4
663	46	16	4
664	48	45	2
665	18	93	4
666	62	13	4
667	59	86	6
668	52	83	4
669	91	100	4
670	93	90	2
671	70	36	6
672	12	44	4
673	54	25	5
674	75	82	5
675	60	89	3
676	71	18	5
677	26	16	4
678	51	60	3
679	72	19	3
680	68	100	3
681	71	26	2
682	12	19	2
683	13	44	5
684	79	28	5
685	33	16	2
686	55	76	4
687	86	30	3
688	100	28	2
689	67	36	4
690	50	27	4
691	79	74	6
692	92	69	5
693	98	53	3
694	64	37	5
695	68	59	5
696	44	98	5
697	48	20	3
698	99	18	3
699	62	77	6
700	70	13	4
701	66	25	6
702	34	13	2
703	66	68	2
704	96	34	5
705	32	30	3
706	76	68	4
707	47	52	2
708	27	44	2
709	26	15	3
710	74	31	4
711	70	56	4
712	74	65	3
713	52	22	6
714	19	38	5
715	25	26	3
716	11	84	5
717	88	35	5
718	64	63	6
719	92	78	3
720	88	31	5
721	14	31	2
722	94	43	5
723	74	41	2
724	37	96	3
725	87	98	6
726	55	26	5
727	18	72	6
728	91	86	4
729	75	70	3
730	72	36	5
731	62	51	4
732	55	98	2
733	76	65	6
734	69	28	5
735	30	59	5
736	60	79	2
737	17	48	6
738	51	80	5
739	63	82	4
740	70	87	5
741	98	15	5
742	10	24	4
743	44	55	5
744	56	65	6
745	96	69	3
746	32	10	2
747	27	42	4
748	85	66	5
749	28	95	3
750	25	60	3
751	94	76	2
752	58	64	6
753	80	98	5
754	24	25	5
755	100	91	6
756	76	12	3
757	66	59	2
758	84	31	5
759	76	23	2
760	96	75	5
761	80	52	4
762	50	15	6
763	90	66	2
764	23	64	3
765	32	39	6
766	32	14	2
767	97	66	4
768	52	63	5
769	44	74	5
770	94	24	2
771	26	95	6
772	42	78	5
773	36	65	5
774	11	30	6
775	41	76	3
776	65	22	2
777	11	18	4
778	71	74	3
